Component ID,Reference Designator,Part Name,Not mount on PCB,Symbol Name
sht1.cmp1280,,0281Y09PG9_L,,din_a1_v_sdsym_2.smb
sht2.cmp134,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht3.cmp2,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht4.cmp4847,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht5.cmp2270,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht6.cmp2442,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht7.cmp2775,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht8.cmp2,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht9.cmp2,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht10.cmp4554,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht10.cmp5389/sht1.cmp762,,BMO-0002712,,din_a1_v_sdsym_1.smb
sht10.cmp5389/sht2.cmp762,,BMO-0002339,,din_a1_v_sdsym_1.smb
sht11.cmp3691,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht12.cmp2,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht14.cmp3632,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht15.cmp2584,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht16.cmp3234,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht17.cmp7669,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
sht18.cmp2,,0281Y09PG9_L,,din_a1_v_sdsym_1.smb
